train_capacity,train_bw_bytes_per_ns,utilization,avg_latency_ns,num_requests,num_regions,mean_interarrival_ns,epoch_ns,fifo_bw_bytes_per_ns,fifo_avg_latency_ns,raw_link_rate_bytes_per_ns
1,0.0079207136984793,0.009900892123099124,25125012.91280686,50000,4,5.0,500.0,0.00792079207920792,25124513.1817288,0.8
2,0.01538017895361215,0.019225223692015188,12878951.572806839,50000,4,5.0,500.0,0.00792079207920792,25124513.1817288,0.8
4,0.029111022730511516,0.036388778413139394,6748697.812806878,50000,4,5.0,500.0,0.00792079207920792,25124513.1817288,0.8
8,0.05233889618254222,0.06542362022817777,3700705.2128068977,50000,4,5.0,500.0,0.00792079207920792,25124513.1817288,0.8
16,0.0873457852362049,0.10918223154525612,2164497.412806858,50000,4,5.0,500.0,0.00792079207920792,25124513.1817288,0.8
32,0.15080114629735755,0.18850143287169693,1197497.7928068454,50000,4,5.0,500.0,0.00792079207920792,25124513.1817288,0.8
64,0.15907736837518346,0.1988467104689793,1133888.672806847,50000,4,5.0,500.0,0.00792079207920792,25124513.1817288,0.8
128,0.15907736837518346,0.1988467104689793,1133888.672806847,50000,4,5.0,500.0,0.00792079207920792,25124513.1817288,0.8
